,"Full Dive: The Ultimate Next-Gen Full Dive RPG Is 
Even Shittier than Real Life!","Kyuukyoku Shinka shita Full Dive RPG ga 
Genjitsu yori mo Kusoge Dattara",,LostYears (WEB),Yes,LY is AtlasSubbed with dual audio,
,Full Metal Panic!,,,S3: BlurayDesuYo,No,,https://slow.pics/c/QND1NQ5P
,Fullmetal Alchemist (2003),"Hagane no Renkinjutsushi, FMA",NTRM,,Yes,,
,Fullmetal Alchemist Brotherhood,"Hagane no Renkinjutsushi, FMAB",ShadyCrab,,Yes,ShadyCrab is Yousei+modified Coalgirls,
,Future Diary,Mirai Nikki,sergey_krs+FFF/GotWoot,Final8,,Final8 has hardsubbed signs and kfx,https://slow.pics/c/mpco28I0
,Fuuka,,Beatrice+Kantai/CR,"EP 1 - 6: Kantai 
EP 7 - 12: SCP-2223",No,"SCP-2223 is resync'd HorribleShit. Apparently Astral did it ages ago but 
he doesn't like it anymore. It's probably still the best one though.",
,Gabriel Dropout,,BBT-RMX,xxon,No,BBT-RMX is Beatrice+FFF/ESL/Mori/xxon subs,http://compare.bakashots.me/compare.php?setId=4174
,Galaxy Investigation 2100: Border Planet,Ginga Tansa 2100-nen: Border Planet,Beatrice,,No,,
,Gankutsuou: The Count of Monte Cristo,Gankutsuou,ARC,,Yes,ARC is VietHD+Dekinai,
,Gargantia on the Verdurous Planet,Suisei no Gargantia,,"CTR
OVA: Vivid","Yes
OVA: No",CTR is Beatrice+UTW-Vivid,
,Garo - Crimson Moon,Garo: Guren no Tsuki,DmonHiro,WhyNot,No,Dmon uses E-D subs. HS is hardsubbed. ,
,Garo - The Animation,Garo: Honoo no Kokuin,SCY,,Yes,,
,Garo - Vanishing Line,,ASC,BlurayDesuYo,Yes | No,ASC is BDY with dual audio,
,Gatchaman Crowds,,"S1: karios
","
S2: Drag",Yes,,
,GATE: Thus the JSDF Fought There! ,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",Kametsu,,Yes,Kametsu is Beatrice+modified SallySubs,
,Gekidol,,OWO+official subs,,No,,
,Genesis Climber Mospeada,Kikou Souseiki Mospeada,,Bunny Hat,No,,
,Getsuyoubi no Tawawa,Tawawa on Monday,YURI,,No,YURI is Beatrice+MoeDesuDesu,https://slow.pics/c/BzzzyTWj
,Ghost in the Shell: Stand Alone Complex,Koukaku Kidoutai: Stand Alone Complex,S1: Beatrice+(?),S1: CTR,,,
,Ghost Stories,Gakkou no Kaidan,,kuchikirukia,Yes,,
